0,0,volt,time,,,,,,
0.117302053,24,0.117302053,0,,,,,,
1.60801564,329,1.60801564,0.004709403,,,,,,
1.632453568,334,1.632453568,0.009418578,,,,,,
1.598240469,327,1.598240469,0.014127753,,,,,,
1.593352884,326,1.593352884,0.018836928,,,,,,
1.598240469,327,1.598240469,0.023546103,,,,,,
1.612903226,330,1.612903226,0.028255278,,,,,,
1.656891496,339,1.656891496,0.032964453,,,,,,
1.647116325,337,1.647116325,0.037673628,,,,,,
1.583577713,324,1.583577713,0.042382803,,,,,,
1.56402737,320,1.56402737,0.047091978,,,,,,
1.617790811,331,1.617790811,0.051801153,,,,,,
1.686217009,345,1.686217009,0.056510328,,,,,,
1.725317693,353,1.725317693,0.061219503,,,,,,
1.69599218,347,1.69599218,0.065928678,,,,,,
1.661779081,340,1.661779081,0.070637853,,,,,,
1.637341153,335,1.637341153,0.075347028,,,,,,
1.676441838,343,1.676441838,0.080056203,,,,,,
1.710654936,350,1.710654936,0.084765378,,,,,,
1.730205279,354,1.730205279,0.089474553,,,,,,
1.700879765,348,1.700879765,0.094183728,,,,,,
1.671554252,342,1.671554252,0.098892903,,,,,,
1.676441838,343,1.676441838,0.103602078,,,,,,
1.69599218,347,1.69599218,0.108311253,,,,,,
1.700879765,348,1.700879765,0.113020428,,,,,,
1.715542522,351,1.715542522,0.117729603,,,,,,
1.691104594,346,1.691104594,0.122438778,,,,,,
1.647116325,337,1.647116325,0.127147953,,,,,,
1.603128055,328,1.603128055,0.131857128,,,,,,
1.583577713,324,1.583577713,0.136566303,,,,,,
1.568914956,321,1.568914956,0.141275478,,,,,,
1.573802542,322,1.573802542,0.145984653,,,,,,
1.588465298,325,1.588465298,0.150693828,,,,,,
1.661779081,340,1.661779081,0.155403003,,,,,,
1.676441838,343,1.676441838,0.160112178,,,,,,
1.622678397,332,1.622678397,0.164821353,,,,,,
1.554252199,318,1.554252199,0.169530528,,,,,,
1.559139785,319,1.559139785,0.174239703,,,,,,
1.627565982,333,1.627565982,0.178948878,,,,,,
1.730205279,354,1.730205279,0.183658053,,,,,,
1.705767351,349,1.705767351,0.188367228,,,,,,
1.588465298,325,1.588465298,0.193076403,,,,,,
1.588465298,325,1.588465298,0.197785578,,,,,,
1.573802542,322,1.573802542,0.202494753,,,,,,
1.588465298,325,1.588465298,0.207203928,,,,,,
1.647116325,337,1.647116325,0.211913103,,,,,,
1.744868035,357,1.744868035,0.216622278,,,,,,
1.813294233,371,1.813294233,0.221331453,,,,,,
1.96969697,403,1.96969697,0.226040628,,,,,,
2.292277615,469,2.292277615,0.230749803,,,,,,
2.697947214,552,2.697947214,0.235458978,,,,,,
2.947214076,603,2.947214076,0.240168153,,,,,,
2.913000978,596,2.913000978,0.244877328,,,,,,
2.65884653,544,2.65884653,0.249586503,,,,,,
2.306940371,472,2.306940371,0.254295678,,,,,,
1.808406647,370,1.808406647,0.259004853,,,,,,
1.51026393,309,1.51026393,0.263714028,,,,,,
1.505376344,308,1.505376344,0.268423203,,,,,,
1.573802542,322,1.573802542,0.273132378,,,,,,
1.612903226,330,1.612903226,0.277841553,,,,,,
1.661779081,340,1.661779081,0.282550728,,,,,,
1.656891496,339,1.656891496,0.287259903,,,,,,
1.65200391,338,1.65200391,0.291969078,,,,,,
1.637341153,335,1.637341153,0.296678253,,,,,,
1.671554252,342,1.671554252,0.301387428,,,,,,
1.73998045,356,1.73998045,0.306096603,,,,,,
1.73998045,356,1.73998045,0.310805778,,,,,,
1.681329423,344,1.681329423,0.315514953,,,,,,
1.686217009,345,1.686217009,0.320224128,,,,,,
1.730205279,354,1.730205279,0.324933303,,,,,,
1.715542522,351,1.715542522,0.329642478,,,,,,
1.720430108,352,1.720430108,0.334351653,,,,,,
1.735092864,355,1.735092864,0.339060828,,,,,,
1.715542522,351,1.715542522,0.343770003,,,,,,
1.681329423,344,1.681329423,0.348479178,,,,,,
1.715542522,351,1.715542522,0.353188353,,,,,,
1.744868035,357,1.744868035,0.357897528,,,,,,
1.788856305,366,1.788856305,0.362606703,,,,,,
1.808406647,370,1.808406647,0.367315878,,,,,,
1.813294233,371,1.813294233,0.372025053,,,,,,
1.808406647,370,1.808406647,0.376734228,,,,,,
1.832844575,375,1.832844575,0.381443403,,,,,,
1.876832845,384,1.876832845,0.386152578,,,,,,
1.886608016,386,1.886608016,0.390861753,,,,,,
1.876832845,384,1.876832845,0.395570928,,,,,,
1.915933529,392,1.915933529,0.400280103,,,,,,
1.920821114,393,1.920821114,0.404989278,,,,,,
1.959921799,401,1.959921799,0.409698453,,,,,,
2.008797654,411,2.008797654,0.414407628,,,,,,
2.003910068,410,2.003910068,0.419116803,,,,,,
1.999022483,409,1.999022483,0.423825978,,,,,,
2.028347996,415,2.028347996,0.428535153,,,,,,
2.062561095,422,2.062561095,0.433244328,,,,,,
2.06744868,423,2.06744868,0.437953503,,,,,,
2.033235582,416,2.033235582,0.442662678,,,,,,
2.023460411,414,2.023460411,0.447371853,,,,,,
2.003910068,410,2.003910068,0.452081028,,,,,,
1.964809384,402,1.964809384,0.456790203,,,,,,
1.896383187,388,1.896383187,0.461499378,,,,,,
1.813294233,371,1.813294233,0.466208553,,,,,,
1.715542522,351,1.715542522,0.470917728,,,,,,
1.676441838,343,1.676441838,0.475626903,,,,,,
1.65200391,338,1.65200391,0.480336078,,,,,,
1.588465298,325,1.588465298,0.485045253,,,,,,
1.505376344,308,1.505376344,0.489754428,,,,,,
1.446725318,296,1.446725318,0.494463603,,,,,,
1.436950147,294,1.436950147,0.499172778,,,,,,
1.505376344,308,1.505376344,0.503881953,,,,,,
1.524926686,312,1.524926686,0.508591128,,,,,,
1.485826002,304,1.485826002,0.513300303,,,,,,
1.461388074,299,1.461388074,0.518009478,,,,,,
1.476050831,302,1.476050831,0.522718653,,,,,,
1.500488759,307,1.500488759,0.527427828,,,,,,
1.529814272,313,1.529814272,0.532137003,,,,,,
1.485826002,304,1.485826002,0.536846178,,,,,,
1.441837732,295,1.441837732,0.541555353,,,,,,
